2014-11-18;1;4;18/24;S/7;3
2014-11-18;2;5;-4/6;NO/113;3
2014-11-18;3;4;6/15;SO/103;1
2014-11-18;4;3;-20/-11;S/38;1
2014-11-18;5;1;-9/-4;NW/51;3
2014-11-18;6;5;-18/-8;N/96;3
2014-11-18;7;2;3/10;SW/105;2
2014-11-19;1;5;7/17;O/14;0
2014-11-19;2;1;-5/5;W/7;1
2014-11-19;3;5;-4/4;SO/51;2
2014-11-19;4;5;-7/-2;SO/70;2
2014-11-19;5;2;-1/6;NW/35;1
2014-11-19;6;5;25/35;N/50;0
2014-11-19;7;3;1/8;NW/46;0
2014-11-20;1;2;14/23;S/31;2
2014-11-20;2;1;15/23;S/41;1
2014-11-20;3;5;16/24;W/91;0
2014-11-20;4;2;-25/-15;NN/0;1
2014-11-20;5;1;-23/-17;W/55;0
2014-11-20;6;5;18/24;NW/83;0
2014-11-20;7;1;21/29;NW/64;1
2014-11-21;1;3;9/17;N/44;3
2014-11-21;2;4;-12/-4;W/25;0
2014-11-21;3;1;-1/8;O/38;2
2014-11-21;4;4;-2/3;W/53;3
2014-11-21;5;1;5/13;NO/72;1
2014-11-21;6;5;19/28;NN/0;0
2014-11-21;7;4;4/14;O/30;2
2014-11-22;1;4;22/31;NN/0;0
2014-11-22;2;5;-8/2;S/97;1
2014-11-22;3;1;-14/-6;NO/100;2
2014-11-22;4;1;-5/1;NW/36;0
2014-11-22;5;4;-13/-7;S/15;3
2014-11-22;6;2;14/20;SW/70;1
2014-11-22;7;3;10/18;NO/43;0
2014-11-23;1;3;15/23;SW/8;3
2014-11-23;2;1;3/13;N/68;1
2014-11-23;3;3;5/12;SO/30;0
2014-11-23;4;5;-22/-16;O/101;2
2014-11-23;5;5;-11/-3;N/71;2
2014-11-23;6;4;12/20;NO/60;2
2014-11-23;7;4;-6/0;SO/72;2
2014-11-24;1;2;18/25;NN/0;2
2014-11-24;2;5;1/8;S/95;1
2014-11-24;3;4;5/12;SW/18;1
2014-11-24;4;3;24/30;NN/0;1
2014-11-24;5;3;3/9;N/113;2
2014-11-24;6;4;1/7;O/48;1
2014-11-24;7;5;11/17;NW/28;2
